,laxen,laxmean,laxstd,layen,laymean,laystd,lazen,lazmean,lazstd,lgxen,lgxmean,lgxstd,lgyen,lgymean,lgystd,lgzen,lgzmean,lgzstd,raxen,raxmean,raxstd,rayen,raymean,raystd,razen,razmean,razstd,rgxen,rgxmean,rgxstd,rgyen,rgymean,rgystd,rgzen,rgzmean,rgzstd,xcorr,ycorr,zcorr
706,0.43159027601794936,-1.2689472519534757,-0.56100553312068679,-0.63258586332010569,0.29624236719749342,-0.57685084558302435,-0.6176163276939749,-1.1379046742639951,-0.039733354352625247,-0.39139463305925121,0.060704583585697892,-0.34500815932160872,0.42601124066136598,0.19433831486296438,0.70675552278599707,-0.47536811201516188,0.09032894425578325,-0.599429565165853,-1.3416837687890568,-0.95502575710004756,-0.98785292266615432,0.17155130246623232,1.7226645629200812,-0.82568033547200614,-1.6235089296894072,-0.94891816052091216,-0.83479382660592805,-0.93137240118857212,-0.068356038433209199,-0.93341751317800759,-0.66506563809746344,-0.15073760594385702,-0.45959599447267435,-0.89222901287440337,0.045683946774666195,-0.81690110046404274,0.047082190987465605,-0.97429166265054301,-0.58925194800087766
707,0.39257425173597205,-1.2323138078839138,-0.5506990185981061,-0.63193797893986803,0.35520775062309096,-0.51506121977782848,-0.38765911812014719,-1.3039572523485763,-0.31319776246528769,-0.49121068906186405,-0.22989348827274292,-0.49001442568855091,1.0537253492019896,0.42303772372671483,0.75902825179825684,-0.42231308895553893,0.20402271703002173,-0.53555913949325995,-0.97576484714257461,-0.94239619938279806,-0.7523412806731804,0.30477586403648044,1.721535909936313,-0.74401968914310956,-1.1693726407431384,-0.99141492291012179,-0.46853460700858007,-0.60360396863378174,0.16304522934090462,-0.63934490751367024,-0.32779854255535396,-0.36829417962969968,-0.15659065138126327,-0.61441811907008492,0.03768273908254989,-0.67486958623985893,0.038013808961903983,-0.8705944433264724,-0.57827652820593167
708,0.30436591112351846,-1.2456501523261561,-0.67286764166646296,-0.85898293848738194,0.43600974108125345,-0.72327960669281577,-0.78288302971974744,-1.3277481829681965,-0.53144939233517308,-0.78239113689955053,-0.2018722586387405,-0.75739441234250393,-0.23623217402395486,0.27586611598193794,-0.2022379180615165,-0.52964313526228313,0.31778186862701707,-0.60477320846254046,-0.96047965421007031,-0.91720939057645112,-0.74995927333300538,0.29247139775922903,1.722432193188129,-0.76831349588391562,-1.182899158024562,-1.0098336585698242,-0.46516763572772418,-0.5681228692820901,0.033117880181688243,-0.52879997546431268,-0.23581044217589311,-0.09383377293223634,-0.08503034226116829,-0.62451566494184485,-0.1343432262979507,-0.5503907568022629,-0.0067936763086652672,-0.72899217559268714,-0.57317827843200453
709,0.20156042094267329,-1.256440970443323,-0.80313190498053044,-0.95659954593099794,0.49988345276092405,-0.78568625893338617,-0.87337755972731024,-1.3452947748425097,-0.60621744979507686,-0.78314217186309243,0.072312215047457606,-0.79327056816868413,-0.51306264949817426,-0.063343737981215273,-0.56230768235822415,-0.61991790402003244,0.15060821883763942,-0.69573607526975423,-1.3169324725216573,-0.95454371291236628,-1.0036482947146665,0.12701369440843482,1.724872075373628,-0.90973513736997036,-1.5983645793222789,-0.96421213424023144,-0.81805039323872419,-0.8542580217358966,-0.15886789854366376,-0.7567913352475325,-0.61350135053560406,0.67932550363095812,-0.52817966924771209,-0.76171253678994133,-0.23835892629546268,-0.67300844548001804,0.048758156051735828,-0.61892058616646617,-0.59295431857728875
710,0.1338525854567113,-1.2428648300429215,-0.880549859576778,-0.99197524178850927,0.51332136478096402,-0.82646315471889986,-0.98270195108167946,-1.3682895522721035,-0.77125705351002194,-0.76288125720800248,-0.088646941222277231,-0.74230177258895602,-0.74536541633489029,0.036251165878805079,-0.84209375817883292,-0.77639119768900444,-0.20204515111304622,-0.73271382516506089,-1.4642645919755903,-1.0447100782181498,-1.1562840947833206,0.092200656376989612,1.7274613381010961,-0.94122787170378597,-1.7123346375792436,-0.93218332435130513,-0.98387662181139435,-0.93437302867424599,0.033836703690176301,-1.0021927368639847,-0.99725175229403495,0.18508122675351041,-0.99347909846247373,-0.90979039187685851,-0.0083242051471188704,-0.84631760351671659,0.19265320592170176,-0.59696310763076454,-0.60822249977987708
711,0.13994785445870614,-1.2210802895362991,-0.83492911285069993,-0.92149784912749333,0.45605753515011183,-0.79904769246390084,-0.99326991505962792,-1.3901291270338154,-0.79073722502304478,-0.77802690485602966,-0.31106545144217146,-0.75747220441001506,-0.75709987333721551,-0.027962328446665331,-0.85127054308510652,-0.8342171872364148,-0.32129612382162065,-0.76491182493224819,-1.3836132744621663,-1.0334061420170237,-1.0656437913127208,0.13516226536766324,1.7261003153853756,-0.88997842789167081,-1.6252763041154557,-0.95015070550850766,-0.8999491866776127,-0.92284293052781652,-0.019356235937939951,-0.98649169945399795,-0.89876488734320925,-0.0076158441267504817,-0.81295397845455164,-0.92457427915413404,-0.13634352822097978,-0.85827869656503786,0.17973121658009342,-0.69562308421417962,-0.60096400027593655
712,0.14196610375960184,-1.2114700053669931,-0.82426297898014877,-0.92182345159654644,0.40509818047671342,-0.84042638578677697,-0.99087403872039592,-1.4029144106148319,-0.81029628614968285,-0.79299548894309102,-0.015376313153134267,-0.77005399219970883,-0.74529438801298131,-0.10181161090069403,-0.84059671275171632,-0.75728213869075045,-0.10633055459695356,-0.75598305586027492,-1.387194923896151,-1.0354548298146693,-1.0621610991711417,0.14818279969967127,1.7305319381304654,-0.87406202196057348,-1.6149384390650403,-0.94756409701341282,-0.84936915647969047,-0.85221172751515695,-0.069434273695941282,-0.85307956382223793,-0.85331005522454839,0.042929416635465602,-0.78189181427705301,-0.8256339584650273,-0.02632692245438056,-0.76661234982656323,0.18484522025364977,-0.78642109066454735,-0.6023970620774155
713,0.2110384382875044,-1.2177784836508752,-0.80926332949453805,-0.89721909041490133,0.39305641516005424,-0.84182181566965142,-0.83215191276768108,-1.3697569718772507,-0.68100344974038751,-0.74410483624307633,-0.39093410160536723,-0.67877781184083008,-0.7108878148986163,-0.47090746398132877,-0.70809160047778519,-0.7275144952077498,-0.24068403536237051,-0.74270349907446032,-1.4602722645038817,-1.0490725781166654,-1.1387038607660158,0.11262832013623396,1.7332207878859132,-0.9171739864211097,-1.6608396617487597,-0.94193952552072335,-0.90447190054064786,-0.84713061243360233,-0.035050549206595873,-0.85162278018877147,-0.97319053033938285,-0.012824843992081919,-0.90375224802158205,-0.71488774915318221,0.0036776063910555889,-0.76135146366588469,0.20494466649644044,-0.80919906112772821,-0.60407134283137742
714,0.30540925528683738,-1.2241607453064989,-0.65407578698389346,-0.83176908995502663,0.41415131925644816,-0.71013120293651244,-0.84154689730832721,-1.3501185265232596,-0.66131439891204957,-0.60798732335960359,-0.51010578461276712,-0.47411111820521568,-0.52290783988952549,-0.30250701051582196,-0.56860104877098749,-0.7367110473173486,-0.23453842602322247,-0.68646715515958823,-1.4726492945811869,-1.0278385316493051,-1.1617470744806613,0.1275181513654535,1.7303825575884961,-0.8908692289216783,-1.7629626685967525,-0.97051373748667058,-1.0398292914846015,-0.93532044052911856,-0.043796235226533906,-0.99099751965373095,-1.0270770223677492,-0.11578342064063295,-0.98423952130884862,-0.69808971930919528,-0.070333564761020248,-0.70923875306364603,0.17129375224859544,-0.77145238709291963,-0.59116666066135748
715,0.30058979449311185,-1.2162290328443077,-0.62796745367468776,-0.92147289286520451,0.42499327099988948,-0.73823053127992599,-0.86551186633928112,-1.3877875000043252,-0.61291952017992324,-0.66067133260329114,-0.15914802915317575,-0.52574449182024907,-0.63875774824993237,0.15617156032250307,-0.72737277640961906,-0.73766024011641995,-0.019965129735096739,-0.71737062927736139,-1.462836014870915,-1.0100269989144817,-1.1550802401176197,0.13358399801925011,1.7254695975415051,-0.86783685305250347,-1.7937254053707352,-0.9791241926112817,-1.0577872034110314,-0.951317720445088,-0.012407608689222062,-1.0039318479517025,-1.0674762065383232,-0.0075799199897481958,-1.0161882423936379,-0.76262957650384033,0.057685758312840653,-0.74587672985807907,0.14523722485387225,-0.74940723365260897,-0.58838777153142707
